Date,Gold_Price
2019-08-30,1528.4
2019-08-29,1540.2
2019-08-28,1537.15
2019-08-27,1532.95
2019-08-26,1503.8
2019-08-23,1503.8
2019-08-22,1502.05
2019-08-21,1503.25
2019-08-20,1504.55
2019-08-19,1496.6
2019-08-16,1515.25
2019-08-15,1515.65
2019-08-14,1513.25
2019-08-13,1498.4
2019-08-12,1504.7
2019-08-09,1497.7
2019-08-08,1495.75
2019-08-07,1506.05
2019-08-06,1465.25
2019-08-05,1465.25
2019-08-02,1441.75
2019-08-01,1406.8
2019-07-31,1427.55
2019-07-30,1425.9
2019-07-29,1419.05
2019-07-26,1420.4
2019-07-25,1416.1
2019-07-24,1426.95
2019-07-23,1425.55
2019-07-22,1427.75
2019-07-19,1439.7
2019-07-18,1417.45
2019-07-17,1410.35
2019-07-16,1409.85
2019-07-15,1412.4
2019-07-12,1407.6
2019-07-11,1413.75
2019-07-10,1408.3
2019-07-09,1391.55
2019-07-08,1400.1
2019-07-05,1388.65
2019-07-04,1414.9
2019-07-03,1413.5
2019-07-02,1391.05
2019-07-01,1390.1
2019-06-28,1409.0
2019-06-27,1402.5
2019-06-26,1403.95
2019-06-25,1431.4
2019-06-24,1405.7
2019-06-21,1397.15
2019-06-20,1379.5
2019-06-19,1344.05
2019-06-18,1341.35
2019-06-17,1341.3
2019-06-14,1351.25
2019-06-13,1335.9
2019-06-12,1332.35
2019-06-11,1324.3
2019-06-10,1328.6
2019-06-07,1340.65
2019-06-06,1335.5
2019-06-05,1335.05
2019-06-04,1324.25
2019-06-03,1317.1
2019-05-31,1295.55
2019-05-30,1280.95
2019-05-29,1281.65
2019-05-28,1278.3
2019-05-27,1282.5
2019-05-24,1282.5
2019-05-23,1283.65
2019-05-22,1273.8
2019-05-21,1271.15
2019-05-20,1276.85
2019-05-17,1280.8
2019-05-16,1291.7
2019-05-15,1299.1
2019-05-14,1298.4
2019-05-13,1295.6
2019-05-10,1287.1
2019-05-09,1286.1
2019-05-08,1285.2
2019-05-07,1281.2
2019-05-06,1278.55
2019-05-03,1278.55
2019-05-02,1270.95
2019-05-01,1283.8
2019-04-30,1282.3
2019-04-29,1279.5
2019-04-26,1284.2
2019-04-25,1280.8
2019-04-24,1271.65
2019-04-23,1269.5
2019-04-22,1275.7
2019-04-19,1275.7
2019-04-18,1275.7
2019-04-17,1275.85
2019-04-16,1276.35
2019-04-15,1285.65
2019-04-12,1294.3
2019-04-11,1298.8
2019-04-10,1305.45
2019-04-09,1303.0
2019-04-08,1300.0
2019-04-05,1288.45
2019-04-04,1283.15
2019-04-03,1290.45
2019-04-02,1290.3
2019-04-01,1293.5
2019-03-29,1295.4
2019-03-28,1295.15
2019-03-27,1309.7
2019-03-26,1316.3
2019-03-25,1319.55
2019-03-22,1311.3
2019-03-21,1309.6
2019-03-20,1303.7
2019-03-19,1307.7
2019-03-18,1305.6
2019-03-15,1303.5
2019-03-14,1295.55
2019-03-13,1306.95
2019-03-12,1297.05
2019-03-11,1292.75
2019-03-08,1296.75
2019-03-07,1285.3
2019-03-06,1285.85
2019-03-05,1283.8
2019-03-04,1285.4
2019-03-01,1311.95
2019-02-28,1319.15
2019-02-27,1322.85
2019-02-26,1325.05
2019-02-25,1331.05
2019-02-22,1329.05
2019-02-21,1331.25
2019-02-20,1343.75
2019-02-19,1334.15
2019-02-18,1325.5
2019-02-15,1316.55
2019-02-14,1311.45
2019-02-13,1312.8
2019-02-12,1310.0
2019-02-11,1306.4
2019-02-08,1314.85
2019-02-07,1310.0
2019-02-06,1312.4
2019-02-05,1314.2
2019-02-04,1312.15
2019-02-01,1318.7
2019-01-31,1323.25
2019-01-30,1310.7
2019-01-29,1307.55
2019-01-28,1302.15
2019-01-25,1293.9
2019-01-24,1283.7
2019-01-23,1279.8
2019-01-22,1282.1
2019-01-21,1279.55
2019-01-18,1284.2
2019-01-17,1290.7
2019-01-16,1292.3
2019-01-15,1294.4
2019-01-14,1292.75
2019-01-11,1288.95
2019-01-10,1291.9
2019-01-09,1288.6
2019-01-08,1286.45
2019-01-07,1292.2
2019-01-04,1279.9
2019-01-03,1290.45
2019-01-02,1282.9
2019-01-01,1279.0
2018-12-31,1279.0
2018-12-28,1279.0
2018-12-27,1268.0
2018-12-26,1258.15
2018-12-25,1258.15
2018-12-24,1258.15
2018-12-21,1258.15
2018-12-20,1259.75
2018-12-19,1255.0
2018-12-18,1246.3
2018-12-17,1241.65
2018-12-14,1235.35
2018-12-13,1242.75
2018-12-12,1245.75
2018-12-11,1245.3
2018-12-10,1245.35
2018-12-07,1243.3
2018-12-06,1242.55
2018-12-05,1235.9
2018-12-04,1240.3
2018-12-03,1230.3
2018-11-30,1217.55
2018-11-29,1226.25
2018-11-28,1213.25
2018-11-27,1221.2
2018-11-26,1223.4
2018-11-23,1223.65
2018-11-22,1227.05
2018-11-21,1226.1
2018-11-20,1223.0
2018-11-19,1221.6
2018-11-16,1222.4
2018-11-15,1211.85
2018-11-14,1203.25
2018-11-13,1202.1
2018-11-12,1205.55
2018-11-09,1211.4
2018-11-08,1224.15
2018-11-07,1229.95
2018-11-06,1231.6
2018-11-05,1232.25
2018-11-02,1232.1
2018-11-01,1231.15
2018-10-31,1214.95
2018-10-30,1225.4
2018-10-29,1230.8
2018-10-26,1233.85
2018-10-25,1230.8
2018-10-24,1230.55
2018-10-23,1235.95
2018-10-22,1222.3
2018-10-19,1227.85
2018-10-18,1223.0
2018-10-17,1229.05
2018-10-16,1230.7
2018-10-15,1229.95
2018-10-12,1219.75
2018-10-11,1205.55
2018-10-10,1188.6
2018-10-09,1185.55
2018-10-08,1186.95
2018-10-05,1203.8
2018-10-04,1203.45
2018-10-03,1201.2
2018-10-02,1204.7
2018-10-01,1189.35
2018-09-28,1187.25
2018-09-27,1185.4
2018-09-26,1194.25
2018-09-25,1201.9
2018-09-24,1202.75
2018-09-21,1198.7
2018-09-20,1208.35
2018-09-19,1203.3
2018-09-18,1200.2
2018-09-17,1201.9
2018-09-14,1201.95
2018-09-13,1209.8
2018-09-12,1195.6
2018-09-11,1189.85
2018-09-10,1196.6
2018-09-07,1198.9
2018-09-06,1205.15
2018-09-05,1196.7
2018-09-04,1190.85
2018-09-03,1200.05
2018-08-31,1202.45
2018-08-30,1197.3
2018-08-29,1204.2
2018-08-28,1212.25
2018-08-27,1197.7
2018-08-24,1197.7
2018-08-23,1192.35
2018-08-22,1196.65
2018-08-21,1190.95
2018-08-20,1184.35
2018-08-17,1178.4
2018-08-16,1180.4
2018-08-15,1182.0
2018-08-14,1197.0
2018-08-13,1200.35
2018-08-10,1214.4
2018-08-09,1214.35
2018-08-08,1209.55
2018-08-07,1212.35
2018-08-06,1209.65
2018-08-03,1216.3
2018-08-02,1215.45
2018-08-01,1219.0
2018-07-31,1220.95
2018-07-30,1223.8
2018-07-27,1223.95
2018-07-26,1228.25
2018-07-25,1231.5
2018-07-24,1228.35
2018-07-23,1224.95
2018-07-20,1228.75
2018-07-19,1217.55
2018-07-18,1224.5
2018-07-17,1232.8
2018-07-16,1241.1
2018-07-13,1241.7
2018-07-12,1245.9
2018-07-11,1251.4
2018-07-10,1254.0
2018-07-09,1262.05
2018-07-06,1255.35
2018-07-05,1255.5
2018-07-04,1255.65
2018-07-03,1251.75
2018-07-02,1247.8
2018-06-29,1250.45
2018-06-28,1251.55
2018-06-27,1254.6
2018-06-26,1260.3
2018-06-25,1268.7
2018-06-22,1269.15
2018-06-21,1266.15
2018-06-20,1274.2
2018-06-19,1276.15
2018-06-18,1281.55
2018-06-15,1285.25
2018-06-14,1302.75
2018-06-13,1296.15
2018-06-12,1298.65
2018-06-11,1299.6
2018-06-08,1298.25
2018-06-07,1297.25
2018-06-06,1300.1
2018-06-05,1292.05
2018-06-04,1295.45
2018-06-01,1294.6
2018-05-31,1305.35
2018-05-30,1300.7
2018-05-29,1295.5
2018-05-28,1303.5
2018-05-25,1303.5
2018-05-24,1304.85
2018-05-23,1289.0
2018-05-22,1293.05
2018-05-21,1288.35
2018-05-18,1288.3
2018-05-17,1289.5
2018-05-16,1291.25
2018-05-15,1295.0
2018-05-14,1319.85
2018-05-11,1324.35
2018-05-10,1318.8
2018-05-09,1313.85
2018-05-08,1306.6
2018-05-07,1309.4
2018-05-04,1309.4
2018-05-03,1315.05
2018-05-02,1304.2
2018-05-01,1307.1
2018-04-30,1313.2
2018-04-27,1321.5
2018-04-26,1320.7
2018-04-25,1321.65
2018-04-24,1328.85
2018-04-23,1324.3
2018-04-20,1336.75
2018-04-19,1348.6
2018-04-18,1351.45
2018-04-17,1342.1
2018-04-16,1349.35
2018-04-13,1343.7
2018-04-12,1341.35
2018-04-11,1350.75
2018-04-10,1338.95
2018-04-09,1331.95
2018-04-06,1331.2
2018-04-05,1327.7
2018-04-04,1337.3
2018-04-03,1333.45
2018-04-02,1323.85
2018-03-30,1323.85
2018-03-29,1323.85
2018-03-28,1332.45
2018-03-27,1341.45
2018-03-26,1352.4
2018-03-23,1346.6
2018-03-22,1329.15
2018-03-21,1321.35
2018-03-20,1311.0
2018-03-19,1312.4
2018-03-16,1310.1
2018-03-15,1318.75
2018-03-14,1323.55
2018-03-13,1322.75
2018-03-12,1319.15
2018-03-09,1320.6
2018-03-08,1321.0
2018-03-07,1329.4
2018-03-06,1331.4
2018-03-05,1320.4
2018-03-02,1322.3
2018-03-01,1307.75
2018-02-28,1317.85
2018-02-27,1325.75
2018-02-26,1333.5
2018-02-23,1327.95
2018-02-22,1328.35
2018-02-21,1330.5
2018-02-20,1339.85
2018-02-19,1346.6
2018-02-16,1352.1
2018-02-15,1352.45
2018-02-14,1336.25
2018-02-13,1325.35
2018-02-12,1322.3
2018-02-09,1314.1
2018-02-08,1315.45
2018-02-07,1324.65
2018-02-06,1331.4
2018-02-05,1333.6
2018-02-02,1331.15
2018-02-01,1341.35
2018-01-31,1345.05
2018-01-30,1344.9
2018-01-29,1343.85
2018-01-26,1353.15
2018-01-25,1354.95
2018-01-24,1353.7
2018-01-23,1333.4
2018-01-22,1332.6
2018-01-19,1334.95
2018-01-18,1332.2
2018-01-17,1335.65
2018-01-16,1333.85
2018-01-15,1339.25
2018-01-12,1326.8
2018-01-11,1323.05
2018-01-10,1319.75
2018-01-09,1311.0
2018-01-08,1319.95
2018-01-05,1317.15
2018-01-04,1314.5
2018-01-03,1314.9
2018-01-02,1312.05
2018-01-01,1291.0
2017-12-29,1291.0
2017-12-28,1291.0
2017-12-27,1279.4
2017-12-26,1264.55
2017-12-25,1264.55
2017-12-22,1264.55
2017-12-21,1264.55
2017-12-20,1264.55
2017-12-19,1260.35
2017-12-18,1260.6
2017-12-15,1254.6
2017-12-14,1251.0
2017-12-13,1242.65
2017-12-12,1240.9
2017-12-11,1247.15
2017-12-08,1250.65
2017-12-07,1255.0
2017-12-06,1263.7
2017-12-05,1266.3
2017-12-04,1273.45
2017-12-01,1275.5
2017-11-30,1280.2
2017-11-29,1283.85
2017-11-28,1291.85
2017-11-27,1294.9
2017-11-24,1290.5
2017-11-23,1290.35
2017-11-22,1286.95
2017-11-21,1283.3
2017-11-20,1286.2
2017-11-17,1284.35
2017-11-16,1280.0
2017-11-15,1282.2
2017-11-14,1274.6
2017-11-13,1277.95
2017-11-10,1284.3
2017-11-09,1284.8
2017-11-08,1284.0
2017-11-07,1275.6
2017-11-06,1270.9
2017-11-03,1267.2
2017-11-02,1279.2
2017-11-01,1277.05
2017-10-31,1270.15
2017-10-30,1272.0
2017-10-27,1266.45
2017-10-26,1273.75
2017-10-25,1275.0
2017-10-24,1276.45
2017-10-23,1274.9
2017-10-20,1281.2
2017-10-19,1286.4
2017-10-18,1280.2
2017-10-17,1284.75
2017-10-16,1303.3
2017-10-13,1299.6
2017-10-12,1290.25
2017-10-11,1289.25
2017-10-10,1291.4
2017-10-09,1278.75
2017-10-06,1261.8
2017-10-05,1274.5
2017-10-04,1274.25
2017-10-03,1271.25
2017-10-02,1273.7
2017-09-29,1283.1
2017-09-28,1283.35
2017-09-27,1282.55
2017-09-26,1300.05
2017-09-25,1293.3
2017-09-22,1294.8
2017-09-21,1292.1
2017-09-20,1311.3
2017-09-19,1309.6
2017-09-18,1312.1
2017-09-15,1322.85
2017-09-14,1324.55
2017-09-13,1327.55
2017-09-12,1326.5
2017-09-11,1334.2
2017-09-08,1346.25
2017-09-07,1343.5
2017-09-06,1337.85
2017-09-05,1335.55
2017-09-04,1333.1
2017-09-01,1320.4
2017-08-31,1311.75
2017-08-30,1308.5
2017-08-29,1318.65
2017-08-28,1285.3
2017-08-25,1285.3
2017-08-24,1289.0
2017-08-23,1286.65
2017-08-22,1284.2
2017-08-21,1292.9
2017-08-18,1295.8
2017-08-17,1285.15
2017-08-16,1272.75
2017-08-15,1270.3
2017-08-14,1282.3
2017-08-11,1286.1
2017-08-10,1284.4
2017-08-09,1271.05
2017-08-08,1261.8
2017-08-07,1258.0
2017-08-04,1257.7
2017-08-03,1268.1
2017-08-02,1269.6
2017-08-01,1270.95
2017-07-31,1267.55
2017-07-28,1264.9
2017-07-27,1261.1
2017-07-26,1248.1
2017-07-25,1254.4
2017-07-24,1255.55
2017-07-21,1248.55
2017-07-20,1238.7
2017-07-19,1242.15
2017-07-18,1240.75
2017-07-17,1234.1
2017-07-14,1230.3
2017-07-13,1218.9
2017-07-12,1218.8
2017-07-11,1211.05
2017-07-10,1211.9
2017-07-07,1215.65
2017-07-06,1224.9
2017-07-05,1220.3
2017-07-04,1223.75
2017-07-03,1229.25
2017-06-30,1242.25
2017-06-29,1243.5
2017-06-28,1248.0
2017-06-27,1249.55
2017-06-26,1245.25
2017-06-23,1255.7
2017-06-22,1250.8
2017-06-21,1242.5
2017-06-20,1242.2
2017-06-19,1248.15
2017-06-16,1255.4
2017-06-15,1254.55
2017-06-14,1275.5
2017-06-13,1262.0
2017-06-12,1266.4
2017-06-09,1266.55
2017-06-08,1273.1
2017-06-07,1291.0
2017-06-06,1293.5
2017-06-05,1279.95
2017-06-02,1274.95
2017-06-01,1264.85
2017-05-31,1266.2
2017-05-30,1262.7
2017-05-29,1265.05
2017-05-26,1265.05
2017-05-25,1256.95
2017-05-24,1252.55
2017-05-23,1260.2
2017-05-22,1258.85
2017-05-19,1252.0
2017-05-18,1255.9
2017-05-17,1257.4
2017-05-16,1234.2
2017-05-15,1233.3
2017-05-12,1231.25
2017-05-11,1223.15
2017-05-10,1222.95
2017-05-09,1220.4
2017-05-08,1229.8
2017-05-05,1228.05
2017-05-04,1228.45
2017-05-03,1250.3
2017-05-02,1255.45
2017-05-01,1266.45
2017-04-28,1266.45
2017-04-27,1262.8
2017-04-26,1261.85
2017-04-25,1267.8
2017-04-24,1269.4
2017-04-21,1281.85
2017-04-20,1282.1
2017-04-19,1279.05
2017-04-18,1278.95
2017-04-17,1284.15
2017-04-14,1284.15
2017-04-13,1284.15
2017-04-12,1274.3
2017-04-11,1252.9
2017-04-10,1250.05
2017-04-07,1266.45
2017-04-06,1252.5
2017-04-05,1245.8
2017-04-04,1257.65
2017-04-03,1247.25
2017-03-31,1244.85
2017-03-30,1248.8
2017-03-29,1251.1
2017-03-28,1257.25
2017-03-27,1257.55
2017-03-24,1247.5
2017-03-23,1247.5
2017-03-22,1249.05
2017-03-21,1241.6
2017-03-20,1232.4
2017-03-17,1229.6
2017-03-16,1229.35
2017-03-15,1198.8
2017-03-14,1204.6
2017-03-13,1204.2
2017-03-10,1202.65
2017-03-09,1206.55
2017-03-08,1209.2
2017-03-07,1216.65
2017-03-06,1230.95
2017-03-03,1226.5
2017-03-02,1238.1
2017-03-01,1240.4
2017-02-28,1255.6
2017-02-27,1257.2
2017-02-24,1253.65
2017-02-23,1247.9
2017-02-22,1236.65
2017-02-21,1233.2
2017-02-20,1237.3
2017-02-17,1241.95
2017-02-16,1240.55
2017-02-15,1224.4
2017-02-14,1230.75
2017-02-13,1222.25
2017-02-10,1228.3
2017-02-09,1236.8
2017-02-08,1242.1
2017-02-07,1231.0
2017-02-06,1226.75
2017-02-03,1215.2
2017-02-02,1221.95
2017-02-01,1203.65
2017-01-31,1212.8
2017-01-30,1192.8
2017-01-27,1184.85
2017-01-26,1189.7
2017-01-25,1195.0
2017-01-24,1216.8
2017-01-23,1212.85
2017-01-20,1200.55
2017-01-19,1196.05
2017-01-18,1214.75
2017-01-17,1216.05
2017-01-16,1203.0
2017-01-13,1190.35
2017-01-12,1205.05
2017-01-11,1178.55
2017-01-10,1189.5
2017-01-09,1178.5
2017-01-06,1175.85
2017-01-05,1176.7
2017-01-04,1164.25
2017-01-03,1151.0
2017-01-02,1145.9
2016-12-30,1145.9
2016-12-29,1145.9
2016-12-28,1134.6
2016-12-27,1131.35
2016-12-26,1131.35
2016-12-23,1131.35
2016-12-22,1131.35
2016-12-21,1133.65
2016-12-20,1125.7
2016-12-19,1136.25
2016-12-16,1131.6
2016-12-15,1126.95
2016-12-14,1162.25
2016-12-13,1158.55
2016-12-12,1156.1
2016-12-09,1163.6
2016-12-08,1171.05
2016-12-07,1177.65
2016-12-06,1172.5
2016-12-05,1162.2
2016-12-02,1173.5
2016-12-01,1161.85
2016-11-30,1178.1
2016-11-29,1186.55
2016-11-28,1187.0
2016-11-25,1187.7
2016-11-24,1186.1
2016-11-23,1185.35
2016-11-22,1212.25
2016-11-21,1214.25
2016-11-18,1211.0
2016-11-17,1226.75
2016-11-16,1229.2
2016-11-15,1226.95
2016-11-14,1213.6
2016-11-11,1236.45
2016-11-10,1267.5
2016-11-09,1281.4
2016-11-08,1282.35
2016-11-07,1283.05
2016-11-04,1302.8
2016-11-03,1301.0
2016-11-02,1303.75
2016-11-01,1288.45
2016-10-31,1272.0
2016-10-28,1273.0
2016-10-27,1266.25
2016-10-26,1270.5
2016-10-25,1269.4
2016-10-24,1265.55
2016-10-21,1266.05
2016-10-20,1271.65
2016-10-19,1269.05
2016-10-18,1258.2
2016-10-17,1254.8
2016-10-14,1251.75
2016-10-13,1261.05
2016-10-12,1256.5
2016-10-11,1253.45
2016-10-10,1259.5
2016-10-07,1258.75
2016-10-06,1254.5
2016-10-05,1269.4
2016-10-04,1283.3
2016-10-03,1313.3
2016-09-30,1322.5
2016-09-29,1318.1
2016-09-28,1322.5
2016-09-27,1327.0
2016-09-26,1340.5
2016-09-23,1338.65
2016-09-22,1339.1
2016-09-21,1326.1
2016-09-20,1313.8
2016-09-19,1314.85
2016-09-16,1308.35
2016-09-15,1310.8
2016-09-14,1321.75
2016-09-13,1323.65
2016-09-12,1324.6
2016-09-09,1330.85
2016-09-08,1343.4
2016-09-07,1348.35
2016-09-06,1337.25
2016-09-05,1326.35
2016-09-02,1324.7
2016-09-01,1309.5
2016-08-31,1309.25
2016-08-30,1318.15
2016-08-29,1318.75
2016-08-26,1318.75
2016-08-25,1321.3
2016-08-24,1327.25
2016-08-23,1342.0
2016-08-22,1335.9
2016-08-19,1346.4
2016-08-18,1350.05
2016-08-17,1343.35
2016-08-16,1344.0
2016-08-15,1339.4
2016-08-12,1352.2
2016-08-11,1355.0
2016-08-10,1347.7
2016-08-09,1341.0
2016-08-08,1336.8
2016-08-05,1340.4
2016-08-04,1362.75
2016-08-03,1358.9
2016-08-02,1363.75
2016-08-01,1349.65
2016-07-29,1342.0
2016-07-28,1341.75
2016-07-27,1329.0
2016-07-26,1323.0
2016-07-25,1313.15
2016-07-22,1320.75
2016-07-21,1321.15
2016-07-20,1315.9
2016-07-19,1330.9
2016-07-18,1334.7
2016-07-15,1327.0
2016-07-14,1323.6
2016-07-13,1342.75
2016-07-12,1342.4
2016-07-11,1357.1
2016-07-08,1354.25
2016-07-07,1356.7
2016-07-06,1366.25
2016-07-05,1350.75
2016-07-04,1350.75
2016-07-01,1340.0
2016-06-30,1320.75
2016-06-29,1321.5
2016-06-28,1309.7
2016-06-27,1324.55
2016-06-24,1315.5
2016-06-23,1262.15
2016-06-22,1264.85
2016-06-21,1272.6
2016-06-20,1281.8
2016-06-17,1290.7
2016-06-16,1310.75
2016-06-15,1283.3
2016-06-14,1287.15
2016-06-13,1280.8
2016-06-10,1275.5
2016-06-09,1263.9
2016-06-08,1263.0
2016-06-07,1241.0
2016-06-06,1244.0
2016-06-03,1240.5
2016-06-02,1212.4
2016-06-01,1214.5
2016-05-31,1212.1
2016-05-30,1216.25
2016-05-27,1216.25
2016-05-26,1223.85
2016-05-25,1220.6
2016-05-24,1236.85
2016-05-23,1245.9
2016-05-20,1254.2
2016-05-19,1246.25
2016-05-18,1272.9
2016-05-17,1277.0
2016-05-16,1285.75
2016-05-13,1265.9
2016-05-12,1279.25
2016-05-11,1276.85
2016-05-10,1262.8
2016-05-09,1265.25
2016-05-06,1289.0
2016-05-05,1280.25
2016-05-04,1283.0
2016-05-03,1294.0
2016-05-02,1285.65
2016-04-29,1285.65
2016-04-28,1256.0
2016-04-27,1247.4
2016-04-26,1241.7
2016-04-25,1238.9
2016-04-22,1243.25
2016-04-21,1249.25
2016-04-20,1252.0
2016-04-19,1255.4
2016-04-18,1234.3
2016-04-15,1227.1
2016-04-14,1233.85
2016-04-13,1245.75
2016-04-12,1254.6
2016-04-11,1254.75
2016-04-08,1239.5
2016-04-07,1242.1
2016-04-06,1221.4
2016-04-05,1231.25
2016-04-04,1219.75
2016-04-01,1213.6
2016-03-31,1237.0
2016-03-30,1236.25
2016-03-29,1226.0
2016-03-28,1221.0
2016-03-25,1221.0
2016-03-24,1221.0
2016-03-23,1217.6
2016-03-22,1252.5
2016-03-21,1244.9
2016-03-18,1252.1
2016-03-17,1266.5
2016-03-16,1228.5
2016-03-15,1232.0
2016-03-14,1242.75
2016-03-11,1264.75
2016-03-10,1266.5
2016-03-09,1246.4
2016-03-08,1267.0
2016-03-07,1267.9
2016-03-04,1277.5
2016-03-03,1250.25
2016-03-02,1239.2
2016-03-01,1236.5
2016-02-29,1234.9
2016-02-26,1226.5
2016-02-25,1236.0
2016-02-24,1250.75
2016-02-23,1221.35
2016-02-22,1211.0
2016-02-19,1231.15
2016-02-18,1210.1
2016-02-17,1210.0
2016-02-16,1209.5
2016-02-15,1208.2
2016-02-12,1239.75
2016-02-11,1241.0
2016-02-10,1190.0
2016-02-09,1191.0
2016-02-08,1193.25
2016-02-05,1150.35
2016-02-04,1156.35
2016-02-03,1132.0
2016-02-02,1128.5
2016-02-01,1126.5
2016-01-29,1111.8
2016-01-28,1114.0
2016-01-27,1116.25
2016-01-26,1113.6
2016-01-25,1106.6
2016-01-22,1096.25
2016-01-21,1096.5
2016-01-20,1101.75
2016-01-19,1086.25
2016-01-18,1089.2
2016-01-15,1093.75
2016-01-14,1088.4
2016-01-13,1088.15
2016-01-12,1085.4
2016-01-11,1100.75
2016-01-08,1101.85
2016-01-07,1106.35
2016-01-06,1091.4
2016-01-05,1077.0
2016-01-04,1082.25
2016-01-01,1060.0
2015-12-31,1060.0
2015-12-30,1060.0
2015-12-29,1070.1
2015-12-28,1068.25
2015-12-25,1068.25
2015-12-24,1068.25
2015-12-23,1068.25
2015-12-22,1074.9
2015-12-21,1078.75
2015-12-18,1062.5
2015-12-17,1049.4
2015-12-16,1075.25
2015-12-15,1061.5
2015-12-14,1068.25
2015-12-11,1072.5
2015-12-10,1071.0
2015-12-09,1081.0
2015-12-08,1072.1
2015-12-07,1075.8
2015-12-04,1079.25
2015-12-03,1055.45
2015-12-02,1055.4
2015-12-01,1065.4
2015-11-30,1061.9
2015-11-27,1057.4
2015-11-26,1071.0
2015-11-25,1068.0
2015-11-24,1076.4
2015-11-23,1070.5
2015-11-20,1081.75
2015-11-19,1082.6
2015-11-18,1067.75
2015-11-17,1079.2
2015-11-16,1084.75
2015-11-13,1081.5
2015-11-12,1087.4
2015-11-11,1085.9
2015-11-10,1087.1
2015-11-09,1089.6
2015-11-06,1088.9
2015-11-05,1106.3
2015-11-04,1114.7
2015-11-03,1123.1
2015-11-02,1134.0
2015-10-30,1142.35
2015-10-29,1148.6
2015-10-28,1179.6
2015-10-27,1165.7
2015-10-26,1166.4
2015-10-23,1161.25
2015-10-22,1167.0
2015-10-21,1167.1
2015-10-20,1177.75
2015-10-19,1175.4
2015-10-16,1180.85
2015-10-15,1184.25
2015-10-14,1173.9
2015-10-13,1165.2
2015-10-12,1164.9
2015-10-09,1151.55
2015-10-08,1140.0
2015-10-07,1144.6
2015-10-06,1147.5
2015-10-05,1139.75
2015-10-02,1140.75
2015-10-01,1119.0
2015-09-30,1114.0
2015-09-29,1132.1
2015-09-28,1131.05
2015-09-25,1146.65
2015-09-24,1154.5
2015-09-23,1131.35
2015-09-22,1122.9
2015-09-21,1133.25
2015-09-18,1141.5
2015-09-17,1117.5
2015-09-16,1117.6
2015-09-15,1105.95
2015-09-14,1104.8
2015-09-11,1100.25
2015-09-10,1109.5
2015-09-09,1109.85
2015-09-08,1121.15
2015-09-07,1119.5
2015-09-04,1118.25
2015-09-03,1128.0
