address,age,math1,math2,math3,port1,port2,port3
R,15,3.5,5.0,5.0,6.5,6.5,6.5
R,15,4.0,3.0,2.5,6.5,5.5,5.5
R,15,7.0,6.5,6.5,7.0,6.5,6.0
R,15,5.0,4.5,4.0,5.0,5.5,5.0
R,15,5.0,5.0,5.0,6.5,6.5,6.5
R,15,6.0,6.0,5.5,5.5,6.0,6.0
R,15,6.0,0.0,0.0,5.0,5.5,6.0
R,15,4.0,4.5,4.0,5.5,5.0,5.5
R,15,8.0,8.0,8.0,7.5,7.5,7.5
U,15,5.0,5.5,5.5,5.0,5.0,5.0
U,15,7.0,7.5,7.5,7.5,7.0,7.5
U,15,4.0,0.0,0.0,5.5,6.0,6.5
U,15,4.5,5.0,5.0,6.5,6.0,6.0
U,15,4.0,5.5,5.5,6.0,6.0,6.0
U,15,5.0,5.5,5.5,6.5,6.0,6.5
U,15,8.0,7.5,7.5,7.0,7.0,7.0
U,15,5.0,6.0,6.0,5.0,6.0,6.5
U,15,3.5,4.0,4.0,5.0,5.0,5.0
U,15,4.0,3.5,3.0,5.5,5.5,5.5
U,15,3.0,3.5,0.0,5.5,5.5,5.5
U,15,3.5,3.0,3.0,5.5,5.0,5.0
U,15,7.5,7.0,7.5,7.0,7.0,7.0
U,15,6.5,7.0,7.0,7.5,7.5,7.5
U,15,8.0,8.5,9.0,7.0,6.5,6.5
U,15,5.5,0.0,0.0,6.5,7.0,7.5
U,15,4.0,5.0,5.5,6.5,6.0,6.0
U,15,3.5,4.5,4.0,6.0,5.5,6.0
U,15,3.5,3.5,3.5,6.5,6.0,6.0
U,15,5.0,4.0,4.5,7.0,7.0,7.0
U,15,4.5,5.5,5.5,6.5,6.5,6.5
U,15,8.0,8.0,7.5,6.5,7.0,7.0
U,15,5.0,6.5,6.5,6.5,6.0,6.5
U,15,3.5,5.0,5.5,5.0,5.5,5.5
U,15,4.0,4.0,3.0,5.0,5.5,5.5
U,15,3.5,4.0,5.0,6.0,6.5,6.0
U,15,3.5,3.0,3.0,6.0,5.5,5.5
U,15,5.5,6.5,6.5,8.0,7.0,8.0
U,15,5.0,5.0,5.0,6.5,6.0,6.0
R,16,5.0,5.0,5.5,6.5,6.5,6.5
R,16,3.5,5.0,5.0,5.5,5.5,5.5
R,16,5.0,5.5,5.5,8.5,8.0,8.0
U,16,4.0,4.5,5.0,6.0,6.5,6.0
U,16,6.0,6.5,7.0,6.5,6.5,6.5
U,16,3.5,3.5,3.5,5.5,5.5,6.0
U,16,2.0,0.0,0.0,4.5,4.5,5.0
U,16,6.0,5.5,5.5,7.5,6.5,7.0
U,16,4.5,4.5,5.0,6.0,6.5,6.5
U,16,5.0,4.0,5.5,5.0,5.0,8.0
U,16,4.0,3.5,0.0,7.0,6.5,6.5
U,16,4.0,4.5,5.0,6.5,6.0,6.0
U,16,6.5,6.0,6.0,4.5,5.0,5.0
U,16,5.0,6.5,6.5,4.0,5.0,5.0
U,16,3.0,3.5,0.0,6.0,6.0,6.5
U,16,4.0,3.5,4.0,6.0,5.5,5.5
U,16,5.5,5.5,5.5,6.5,6.5,6.5
U,16,6.5,6.5,5.5,6.5,6.0,7.0
U,16,3.0,4.5,4.0,5.0,5.5,6.0
U,16,4.0,5.0,5.0,5.5,6.0,6.0
U,16,5.5,6.0,6.5,6.0,6.0,6.5
U,16,8.0,8.0,8.5,6.5,6.5,7.0
U,16,3.5,3.5,3.0,5.0,4.5,5.0
U,16,6.0,6.5,6.0,7.0,7.5,8.0
U,16,3.0,5.0,5.0,5.5,6.5,6.5
U,16,3.5,3.5,4.0,4.5,5.5,5.5
U,16,4.0,5.0,5.0,6.5,7.0,7.0
U,16,5.5,6.0,5.5,5.5,5.5,5.5
U,16,2.5,2.5,2.5,6.0,5.5,5.5
U,16,7.0,7.5,8.0,8.5,8.5,9.0
U,16,7.5,8.0,8.0,8.0,7.5,8.0
U,16,5.5,5.0,5.0,6.5,7.0,7.0
U,16,8.0,8.0,8.0,7.0,7.0,7.5
U,16,3.5,4.5,4.0,6.0,6.5,6.5
U,16,5.0,4.5,4.5,7.0,6.5,6.5
U,16,5.5,6.0,6.5,7.0,7.5,7.5
U,16,7.0,7.0,7.0,8.0,8.0,8.5
U,16,7.0,7.0,7.0,8.5,8.5,8.5
U,16,5.5,7.0,7.0,6.0,6.5,6.5
U,16,6.5,7.0,7.0,6.5,6.5,7.0
U,16,6.5,6.5,7.0,7.5,8.0,8.0
U,16,5.5,6.0,5.5,6.5,6.0,6.5
U,16,7.0,7.0,6.5,5.0,5.5,5.5
U,16,4.0,5.0,4.5,6.5,6.5,5.0
U,16,4.0,3.5,3.0,6.5,5.5,5.5
U,16,5.0,5.0,4.5,5.0,5.5,5.5
U,16,3.5,5.0,5.5,5.5,5.5,5.0
U,16,6.0,6.5,6.5,7.0,6.5,6.5
U,16,6.5,6.5,6.5,7.0,6.0,6.5
U,16,3.5,3.0,3.0,6.0,6.5,6.0
U,16,5.0,5.5,4.5,7.0,7.0,7.5
U,16,8.0,7.5,7.5,8.0,7.5,8.0
U,16,7.0,7.5,8.0,7.5,7.5,7.0
U,16,4.5,4.5,5.0,5.5,5.0,5.5
R,17,4.5,5.0,5.0,7.0,7.0,8.0
R,17,6.5,5.5,5.5,6.5,6.5,6.5
R,17,3.0,3.0,3.0,5.5,5.0,5.5
R,17,3.5,3.0,3.0,6.5,6.5,6.5
R,17,6.0,7.0,7.0,7.5,7.5,7.5
R,17,5.5,5.5,5.0,7.5,7.5,8.5
R,17,3.5,3.5,3.5,5.5,6.0,6.0
R,17,5.5,5.5,5.5,5.5,5.5,5.0
R,17,9.0,9.0,9.0,9.0,9.5,9.5
R,17,4.0,5.0,5.0,6.0,5.5,5.5
U,17,6.0,5.0,6.0,7.5,7.5,8.0
U,17,4.5,4.0,0.0,5.0,6.0,7.0
U,17,4.0,3.5,4.5,6.0,6.5,7.0
U,17,6.5,6.5,6.5,7.5,7.0,8.5
U,17,3.0,2.5,3.0,5.0,6.5,6.5
U,17,2.5,2.5,3.0,4.5,5.5,5.5
U,17,3.0,2.5,0.0,6.0,6.0,6.0
U,17,4.0,4.0,4.5,6.0,5.5,6.0
U,17,4.5,4.5,5.0,7.0,7.5,7.5
U,17,6.5,6.0,6.0,6.5,6.5,7.0
U,17,4.5,5.0,5.0,6.0,6.0,6.5
U,17,5.0,4.5,5.5,6.0,6.0,7.0
U,17,5.5,4.5,4.5,7.0,6.5,6.5
U,17,3.5,3.5,4.0,6.0,6.5,6.5
U,17,5.0,5.0,5.0,7.5,8.0,8.0
U,17,8.0,8.5,8.5,8.5,9.0,8.5
U,17,6.0,7.0,7.5,8.5,9.0,8.5
U,17,8.5,8.5,9.0,9.0,9.0,9.0
U,17,8.0,7.5,7.5,8.5,9.0,8.5
U,17,3.5,4.0,0.0,6.0,6.5,7.5
U,17,5.0,4.5,4.5,7.5,6.0,6.5
U,17,5.0,4.5,4.5,4.0,4.5,4.0
U,17,8.0,7.5,7.5,5.5,6.5,7.0
U,17,7.5,6.0,7.0,8.0,8.0,8.0
U,17,6.5,7.5,7.5,5.5,6.0,6.5
U,17,7.5,7.5,7.5,8.5,9.0,9.0
U,17,3.0,3.0,2.0,5.5,4.5,5.0
U,17,5.5,5.5,6.0,6.5,6.5,6.5
U,17,9.0,9.0,9.0,7.0,7.5,8.0
U,17,5.0,4.5,4.5,5.5,5.5,6.0
U,17,5.0,4.5,4.5,6.5,6.0,6.5
U,17,7.0,7.0,7.0,7.5,7.0,7.5
U,17,8.0,7.5,7.5,7.0,7.0,7.5
U,17,5.0,6.5,6.0,6.5,6.0,6.0
U,17,6.0,6.0,6.0,6.0,6.0,6.0
U,17,5.0,4.5,0.0,5.0,5.5,6.0
U,17,7.0,7.5,7.5,7.0,7.5,8.0
U,17,7.0,7.5,7.5,7.0,8.0,7.5
U,17,4.5,4.5,4.0,7.0,6.5,7.0
U,17,7.0,6.0,6.5,7.0,7.5,8.5
U,17,6.5,6.5,7.0,7.0,6.0,6.0
R,18,5.0,4.5,4.5,6.0,4.5,5.0
R,18,4.5,4.0,5.0,5.5,5.0,5.5
R,18,3.0,0.0,0.0,4.0,4.5,5.0
R,18,5.0,4.5,0.0,7.0,6.5,7.0
R,18,4.5,4.0,3.5,4.0,4.0,4.0
R,18,6.0,5.0,5.5,5.0,5.5,6.0
R,18,6.0,6.0,6.0,8.5,8.5,9.0
U,18,2.5,3.0,3.0,0.0,5.5,5.5
U,18,4.0,4.5,5.0,6.0,6.5,6.5
U,18,4.0,4.5,5.0,7.0,7.0,7.0
U,18,3.5,0.0,0.0,6.0,5.0,5.5
U,18,4.0,4.0,0.0,6.0,6.0,7.5
U,18,9.0,9.0,9.5,9.0,9.0,9.0
U,18,4.5,5.0,0.0,5.5,6.0,6.5
U,18,5.5,5.0,5.0,5.5,6.0,7.0
U,18,7.5,7.0,7.0,8.0,8.0,8.0
U,18,6.5,6.5,7.0,7.0,8.0,8.5
U,18,3.5,0.0,0.0,5.0,5.5,6.0
U,18,4.5,5.0,4.5,7.0,7.5,8.5
U,18,7.0,6.5,7.0,8.0,8.5,8.5
U,18,8.5,9.0,9.0,7.5,7.5,7.5
U,18,4.5,4.0,4.0,7.0,6.0,6.5
U,18,5.5,5.5,5.5,6.0,5.5,6.5
U,18,6.0,5.0,5.5,7.0,7.5,7.5
U,18,5.5,5.5,5.5,6.5,6.5,6.5
U,18,4.0,4.0,0.0,5.0,4.5,6.0
U,18,8.0,7.5,8.5,7.0,7.0,7.5
U,18,5.0,4.0,4.0,6.5,7.0,7.0
U,19,3.5,4.0,4.5,4.5,5.0,5.5
U,19,4.0,4.0,4.0,6.0,6.0,6.0
U,19,4.5,4.5,4.5,5.5,6.0,6.0
U,19,5.0,4.5,0.0,7.0,6.5,6.5
R,15,4.5,4.5,4.5,5.0,4.5,5.0
R,15,5.5,4.0,4.0,3.5,4.0,4.0
R,15,4.5,0.0,0.0,6.0,5.5,5.5
R,15,8.5,8.0,8.0,6.5,7.0,7.5
R,15,5.0,6.5,6.5,6.0,5.0,5.5
U,15,7.0,8.0,8.0,7.0,7.0,7.5
U,15,8.0,9.0,9.0,8.0,8.0,8.0
U,15,6.5,6.5,6.0,5.5,6.0,6.0
U,15,6.0,6.0,5.5,5.5,6.0,6.0
U,15,4.0,4.0,5.5,4.5,5.0,5.0
U,15,8.0,7.0,7.5,7.0,6.5,6.5
U,15,5.5,5.0,5.5,5.0,4.5,4.5
U,15,5.0,6.0,6.0,5.5,5.5,6.0
U,15,7.0,7.5,7.5,6.0,6.0,6.5
U,15,7.0,6.5,6.5,7.0,6.5,7.0
U,15,6.5,6.5,6.0,4.5,4.5,4.5
U,15,5.5,5.5,5.0,6.0,5.5,5.5
U,15,7.5,8.0,7.5,5.5,5.5,5.5
U,15,5.0,5.0,5.0,5.5,4.5,5.0
U,15,7.5,7.5,7.0,5.5,6.0,6.5
U,15,5.0,5.0,5.5,6.0,6.0,6.5
U,15,4.5,4.5,5.0,5.5,5.5,5.5
U,15,6.5,7.0,7.5,6.0,6.5,7.0
U,15,3.5,4.5,0.0,4.5,5.5,5.5
U,15,6.0,7.5,7.5,5.5,6.0,6.0
U,15,4.5,5.5,6.0,5.0,5.5,5.5
U,15,5.5,6.5,7.0,8.0,7.5,8.0
U,15,5.0,6.5,7.0,6.0,6.5,6.0
U,15,8.5,8.0,8.5,7.5,7.5,7.5
U,15,9.5,9.0,9.0,7.0,7.5,7.5
U,15,7.0,7.5,7.5,7.5,7.5,8.0
U,15,4.0,4.5,5.0,6.0,5.5,5.5
U,15,8.0,9.0,9.5,7.5,8.0,8.5
U,15,5.5,5.5,5.0,5.0,4.5,4.5
U,15,9.0,9.5,9.5,6.5,7.0,7.0
U,15,4.5,5.0,4.5,7.0,6.5,7.0
U,15,5.5,6.5,7.0,5.5,6.0,6.0
U,15,7.5,7.5,7.5,6.5,6.0,6.5
U,15,4.0,5.0,6.0,6.5,6.0,6.0
U,15,9.0,9.5,9.5,9.0,8.5,9.0
U,15,7.5,8.0,9.0,7.0,7.0,7.0
U,15,7.0,7.0,7.0,6.0,6.5,6.0
U,15,6.0,6.0,6.0,5.0,5.5,5.5
R,16,7.5,8.0,7.5,6.5,6.5,6.5
R,16,4.0,4.5,4.0,7.0,6.5,6.0
R,16,8.5,7.5,7.5,6.0,5.0,5.5
R,16,4.0,4.5,5.0,5.5,5.0,5.0
R,16,5.0,4.0,4.5,5.0,4.5,5.5
R,16,5.5,7.5,7.5,4.5,5.5,5.5
R,16,9.0,9.0,9.0,7.0,7.0,7.5
R,16,4.5,4.5,5.0,5.0,5.5,6.0
U,16,6.5,7.5,7.5,5.5,6.0,5.5
U,16,6.5,7.5,8.0,8.0,8.5,9.0
U,16,5.5,6.0,5.5,5.0,4.5,5.5
U,16,9.0,9.0,9.0,7.5,8.0,8.0
U,16,5.0,5.0,5.0,4.5,5.0,5.5
U,16,5.5,5.0,5.0,6.0,5.0,5.5
U,16,6.5,7.0,7.0,6.5,6.0,6.0
U,16,6.0,6.0,7.0,6.5,6.5,7.0
U,16,6.5,7.5,7.5,6.5,5.5,5.5
U,16,5.5,4.5,5.0,6.0,6.0,6.0
U,16,6.0,7.0,7.5,6.0,6.0,6.0
U,16,3.5,5.0,5.0,4.5,5.5,5.0
U,16,5.0,6.0,6.0,5.0,5.0,0.5
U,16,6.5,7.0,6.5,7.0,7.0,7.5
U,16,8.0,9.0,9.0,6.5,7.0,7.0
U,16,8.0,9.0,9.0,5.5,6.0,6.5
U,16,6.0,6.5,6.0,6.5,7.0,7.0
U,16,6.0,6.5,6.0,5.5,6.0,6.5
U,16,3.0,2.5,0.0,4.5,4.5,5.0
U,16,9.5,9.5,10.0,8.5,8.5,8.5
U,16,4.5,4.0,4.0,5.5,5.0,5.5
U,16,7.0,5.5,6.5,6.0,6.5,6.5
U,16,7.0,6.5,6.5,6.5,6.5,7.0
U,16,6.5,6.0,6.0,7.0,7.5,7.5
U,16,6.5,6.0,6.0,7.5,6.5,6.5
U,16,3.5,3.5,2.5,4.5,4.5,4.0
U,16,8.0,8.5,8.5,8.0,8.0,8.0
U,16,3.5,3.0,0.0,8.0,7.0,7.0
U,16,3.5,3.0,0.0,4.5,4.5,4.0
U,16,7.5,7.5,8.0,8.0,7.0,7.0
U,16,7.5,7.5,8.0,4.5,4.5,4.0
U,16,5.0,6.0,5.5,6.0,5.5,6.0
U,16,5.5,5.5,5.5,6.0,6.0,6.5
U,16,4.0,3.0,3.5,4.5,4.5,5.0
U,16,4.5,3.5,3.0,4.5,4.5,4.5
U,16,7.0,6.0,6.0,5.0,5.0,5.0
U,16,6.0,6.5,7.0,4.5,5.0,5.0
U,16,7.5,7.5,7.5,6.5,7.0,8.0
U,16,6.0,6.0,5.5,6.5,6.0,6.5
U,16,6.5,6.5,6.0,5.0,5.0,5.0
U,16,4.5,4.5,4.5,6.0,5.5,5.5
U,16,7.5,7.5,8.0,6.0,6.5,7.0
U,16,4.0,5.0,5.0,6.0,6.0,6.0
U,16,7.5,7.5,7.5,6.0,6.0,6.5
U,16,3.0,0.0,0.0,7.0,7.0,7.5
R,17,7.5,7.0,7.0,8.0,8.5,9.0
R,17,4.0,4.5,5.0,4.5,4.5,5.0
R,17,4.5,3.5,4.0,6.0,5.5,5.5
R,17,4.0,6.0,6.0,6.0,6.0,6.5
R,17,5.5,5.5,5.5,6.0,6.5,6.5
R,17,5.5,5.0,5.0,5.5,5.0,5.0
R,17,5.0,0.0,0.0,5.0,4.5,5.0
R,17,5.0,5.5,6.0,6.0,6.0,6.0
R,17,2.5,4.0,3.5,4.0,4.0,4.0
R,17,8.0,6.0,6.5,4.5,4.0,5.0
R,17,3.5,3.0,0.0,4.0,4.0,4.5
U,17,6.0,5.0,5.5,6.0,6.0,6.0
U,17,3.5,4.0,4.0,5.0,5.5,6.0
U,17,2.5,0.0,0.0,4.5,4.5,5.0
U,17,2.5,0.0,0.0,4.5,3.5,3.0
U,17,4.0,4.0,5.0,4.5,4.5,5.0
U,17,4.0,4.0,5.0,4.5,3.5,3.0
U,17,6.0,6.0,6.5,4.5,6.0,6.5
U,17,4.5,4.5,5.0,5.5,5.5,7.0
U,17,3.0,2.5,2.5,4.0,4.0,3.5
U,17,7.0,6.0,5.5,7.0,7.5,7.5
U,17,3.0,2.5,3.0,5.5,4.5,5.0
U,17,7.0,7.5,8.0,8.5,9.0,8.5
U,17,6.0,6.0,5.5,5.5,6.5,7.0
U,17,5.0,5.0,5.5,5.5,5.5,6.5
U,17,8.5,7.5,8.0,6.5,6.5,7.0
U,17,5.5,4.5,4.5,6.5,6.5,6.5
U,17,5.5,4.5,5.0,6.5,6.5,6.5
U,17,4.0,4.0,4.0,5.5,5.5,5.0
U,17,3.5,4.5,4.0,4.5,5.0,5.0
U,17,7.0,6.5,6.5,8.0,8.0,8.0
U,17,6.0,5.5,6.0,5.0,5.5,5.5
U,17,6.0,6.0,6.0,7.5,7.5,7.5
U,17,5.0,4.5,4.5,5.0,5.5,5.5
U,17,5.5,5.5,5.0,6.0,6.5,6.5
U,17,6.0,6.0,6.5,6.5,6.0,6.0
U,17,6.5,5.5,5.0,5.5,4.5,5.0
R,18,6.5,6.0,6.0,5.0,5.5,6.0
R,18,8.0,7.5,8.0,7.5,7.0,8.5
R,18,8.5,8.5,8.5,7.5,8.0,8.0
R,18,7.0,6.5,7.0,7.0,7.5,7.5
R,18,1.5,2.5,2.5,5.0,4.5,5.0
U,18,7.5,7.0,7.0,8.0,8.0,8.0
U,18,3.0,4.5,4.0,3.5,4.0,3.0
U,18,7.5,7.0,7.0,7.0,7.5,7.5
U,18,6.0,6.5,6.5,5.0,4.5,5.0
U,18,3.5,3.5,0.0,4.0,3.5,4.0
U,18,3.0,3.5,4.0,6.0,5.5,5.5
U,18,3.0,4.0,4.0,3.5,4.0,3.5
U,18,5.0,4.5,5.0,5.0,6.0,7.0
U,18,6.0,5.5,5.5,7.5,8.0,8.0
U,18,4.0,4.0,4.0,5.0,5.0,5.5
U,18,5.0,5.0,4.5,7.0,6.5,7.0
U,18,4.5,6.0,5.5,6.5,7.0,6.5
U,18,4.5,4.5,4.5,6.0,6.0,6.5
U,18,4.5,4.5,4.5,5.5,6.0,6.0
U,18,5.0,5.0,0.0,6.0,6.0,6.5
U,18,5.0,5.0,0.0,5.5,6.0,6.0
U,18,7.5,6.5,7.5,8.5,8.5,8.5
U,18,3.0,2.5,0.0,5.5,4.5,0.0
U,18,5.0,4.0,4.5,4.5,5.0,5.5
U,18,4.5,4.0,4.0,5.5,5.5,6.0
U,18,3.0,3.0,4.0,5.0,5.0,5.0
U,18,8.0,7.5,7.5,8.0,8.0,8.5
U,18,5.0,5.5,5.0,5.0,5.0,5.0
U,18,8.0,7.5,8.0,9.0,9.0,8.5
R,19,7.5,6.0,6.0,5.0,5.0,5.5
U,19,2.5,0.0,0.0,5.5,4.5,5.5
U,19,5.5,5.5,5.5,5.5,6.5,7.0
U,20,8.5,9.0,9.0,7.0,7.5,7.5
U,22,3.0,4.0,4.0,3.5,4.0,2.5
R,17,3.5,3.0,0.0,4.0,4.0,4.5
R,17,3.0,2.5,2.5,3.5,4.0,4.5
R,17,6.0,5.5,6.0,6.5,6.5,6.5
R,17,5.0,5.0,5.0,4.0,4.5,4.5
R,17,6.0,6.5,6.5,6.0,6.0,6.0
U,17,6.5,5.5,5.5,5.0,5.5,6.0
U,17,6.0,6.0,5.5,7.5,7.0,7.5
U,17,8.0,7.5,7.5,7.5,7.0,7.5
R,18,4.0,4.0,5.0,5.0,5.5,6.0
R,18,5.0,4.5,5.0,7.0,8.5,7.5
R,18,7.0,6.0,5.5,3.5,2.5,0.0
R,18,3.0,2.5,3.0,3.5,4.5,5.0
R,18,9.5,9.0,9.5,7.5,8.5,8.5
R,18,4.0,4.5,5.0,6.5,7.0,7.0
U,18,3.0,2.5,0.0,3.5,4.0,3.5
U,18,3.0,2.5,0.0,5.5,6.0,4.5
U,18,5.5,5.0,5.0,5.0,5.0,5.0
U,18,7.5,7.5,7.5,8.0,8.0,8.0
U,18,5.0,4.5,4.5,5.0,5.0,5.0
U,18,5.5,5.5,5.0,6.5,6.0,6.5
U,18,9.0,8.0,8.0,9.5,8.5,9.0
U,18,3.5,4.5,4.0,7.5,7.5,8.0
R,19,3.5,2.5,0.0,5.0,5.5,5.0
R,17,6.5,5.5,5.5,5.0,5.5,5.5
U,17,5.5,5.5,5.0,7.0,7.5,8.0
U,17,6.5,6.5,6.5,4.0,4.5,5.0
U,17,7.0,8.0,8.0,5.0,5.0,5.0
R,18,5.0,5.0,5.0,4.0,5.0,4.5
R,18,3.5,3.0,3.5,3.5,3.5,0.0
R,18,5.5,6.5,6.5,4.5,5.0,5.5
R,18,3.0,2.5,2.5,3.5,3.5,0.0
R,18,7.0,6.0,6.0,4.5,5.0,5.0
R,18,5.5,6.0,5.0,5.0,5.5,5.5
U,18,7.5,7.0,7.0,8.5,9.0,9.5
U,18,5.0,5.0,5.0,7.0,6.5,7.0
U,18,4.0,3.5,4.0,4.5,5.0,4.5
U,18,6.5,6.5,6.5,7.5,8.0,8.0
R,19,4.0,4.0,4.0,4.0,4.5,5.0
R,19,4.0,3.5,4.0,5.0,4.5,5.5
R,19,3.0,2.5,0.0,2.5,4.0,0.0
